Philosophers Number,Time
5,4
5,4
5,3
5,134
5,2
5,264
5,2
5,2
5,3
5,3
5,1
5,2
5,2
5,1032
5,3
5,2
5,2
5,3
5,3
5,3
5,3
5,3
5,2056
5,2
5,2
5,2
5,3
5,3
5,3
5,3
5,2
5,4108
5,2
5,3
5,3
5,3
5,3
5,2
5,1
5,2
5,2
5,8202
5,3
5,3
5,3
5,2
5,1
5,3
5,2
5,3
6,3
6,2
6,3
6,133
6,2
6,260
6,3
6,2
6,3
6,2
6,2
6,3
6,1
6,1031
6,3
6,3
6,3
6,2
6,3
6,3
6,3
6,3
6,2183
6,2055
6,2
6,3
6,2
6,2
6,3
6,3
6,2
6,2
6,1030
6,2
6,3
6,3
6,3
6,2
6,3
6,3
6,2
6,4103
6,3
6,2
6,2
6,3
6,2
6,1
6,1
6,3
6,8201
6,2
6,2
6,3
6,2
6,3
6,3
6,2
6,3
6,3
7,4
7,4
7,5
7,3
7,132
7,134
7,3
7,261
7,3
7,2
7,3
7,2
7,3
7,3
7,3
7,1029
7,2
7,2
7,3
7,3
7,3
7,3
7,2
7,3
7,2054
7,3
7,2
7,2
7,2
7,3
7,3
7,2
7,2
7,4107
7,2
7,2
7,1
7,1
7,3
7,1
7,1
7,3
7,3
7,8203
7,1
7,1
7,2
7,1
7,1
7,3
7,2
7,3
7,16395
7,3
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,32780
7,2
7,2
7,1
7,3
7,2
7,2
7,3
7,3
8,4
8,4
8,4
8,2
8,134
8,134
8,2
8,264
8,3
8,3
8,1
8,3
8,3
8,3
8,1
8,1028
8,4
8,4
8,3
8,2
8,1
8,2
8,2
8,2
8,2054
8,3
8,2
8,3
8,3
8,3
8,3
8,3
8,2
8,4109
8,2
8,3
8,2
8,2
8,3
8,2
8,2
8,2
8,2
8,8336
8,8204
8,2
8,2
8,3
8,3
8,520
8,3
8,2
8,3
8,3
8,1
8,3
8,3
8,2
8,1035
8,3
8,3
8,3
8,16394
8,3
8,3
8,3
8,3
8,3
8,3
8,3
8,2
8,32779
8,3
8,2
8,2
8,3
8,2
8,3
8,3
8,3
9,3
9,3
9,3
9,3
9,2
9,133
9,134
9,135
9,2
9,263
9,2
9,2
9,2
9,3
9,3
9,1
9,2
9,1032
9,3
9,3
9,3
9,2
9,2
9,2
9,3
9,2
9,2057
9,3
9,3
9,2
9,3
9,3
9,1
9,1
9,2
9,4108
9,1
9,3
9,3
9,2
9,3
9,2
9,3
9,2
9,3
9,8206
9,3
9,2
9,3
9,3
9,2
9,3
9,2
9,3
9,16397
9,1
9,3
9,3
9,1
9,2
9,2
9,3
9,2
9,32783
9,3
9,3
9,3
9,3
9,2
9,2
9,2
9,2
9,65552
9,3
9,2
9,3
9,3
9,2
9,3
9,2
9,3
9,131086
9,3
9,3
9,2
9,2
9,3
9,2
9,3
9,3
10,3
10,3
10,3
10,3
10,2
10,134
10,135
10,135
10,3
10,263
10,1
10,3
10,520
10,3
10,2
10,3
10,3
10,3
10,1
10,3
10,3
10,3
10,2054
10,2
10,2
10,2
10,2
10,2
10,4
10,2
10,2
10,4104
10,2
10,5
10,2
10,3
10,3
10,3
10,3
10,2
10,8201
10,3
10,3
10,3
10,2
10,2
10,2
10,2
10,2
10,16528
10,16397
10,2
10,3
10,3
10,3
10,2
10,3
10,2
10,3
10,1031
10,2
10,2
10,2
10,2
10,3
10,3
10,3
10,3
10,32779
10,3
10,2
10,2
10,3
10,3
10,3
10,3
10,3
10,65548
10,2
10,2
10,3
10,2
10,2
10,3
10,2
10,3
10,131085
10,2
10,2
10,3
10,2
10,2
10,2
10,3
10,3
10,262157
10,2
10,2
10,3
10,3
