Philosophers Number,Time
5,0
5,0
6,0
6,0
7,0
7,0
8,0
7,0
6,0
8,0
8,0
8,0
9,0
9,0
9,0
10,0
10,0
10,0
10,0
10,0
9,0
5,106
7,106
8,105
9,105
6,105
10,105
5,212
6,211
10,211
7,211
9,211
8,211
5,234
6,233
8,233
10,233
7,234
9,233
5,210
7,315
8,315
9,315
6,210
10,315
7,257
6,152
10,362
8,257
9,362
5,210
6,188
9,316
10,316
5,233
6,151
7,257
8,256
7,252
5,212
6,164
9,316
10,317
9,297
10,297
6,113
7,257
5,151
8,338
7,228
7,127
8,305
9,305
10,305
5,165
6,165
9,271
10,271
9,214
10,214
6,109
6,103
5,149
8,314
7,209
7,124
7,118
5,164
9,208
10,209
9,207
10,207
6,108
6,102
6,104
5,150
8,313
9,168
7,203
7,117
7,119
5,162
9,207
10,221
6,105
6,106
6,105
5,146
8,310
9,257
7,192
7,119
7,104
8,316
5,164
9,208
10,312
6,104
6,103
6,102
5,146
9,258
9,208
7,189
7,119
7,104
8,364
5,168
10,415
6,105
6,105
6,105
5,144
9,259
7,189
9,223
7,118
7,104
10,394
8,363
5,169
10,416
6,103
6,103
6,103
5,142
9,257
7,187
9,223
7,118
7,105
8,365
5,169
6,102
6,102
6,102
10,423
5,141
7,189
9,325
7,119
7,105
9,252
5,168
6,104
6,104
6,104
10,421
5,140
7,189
7,118
7,104
9,341
5,169
6,104
6,104
6,104
10,418
8,555
5,143
7,189
7,117
7,104
10,428
9,356
5,169
6,104
6,104
6,103
9,368
8,553
5,142
9,290
7,190
7,118
7,104
10,508
5,166
6,102
6,102
6,102
9,338
8,554
5,141
7,191
7,116
7,103
8,504
10,500
10,400
5,166
6,103
6,103
6,103
9,336
5,144
9,260
7,192
7,118
7,105
10,401
5,168
6,104
6,104
6,104
9,308
5,144
7,195
7,117
7,103
10,413
5,167
6,103
6,103
6,103
9,386
8,520
5,144
7,193
7,113
7,101
10,413
5,167
6,104
6,104
6,104
9,412
8,522
5,141
7,195
7,114
7,104
9,382
10,414
5,167
6,101
6,101
8,520
5,141
7,197
7,112
7,102
9,458
5,167
6,104
5,142
7,198
7,110
7,102
8,623
9,486
5,166
5,143
7,198
7,108
7,102
8,466
5,165
5,144
7,103
7,103
7,0
8,463
5,164
5,105
8,468
9,743
8,452
10,1120
8,451
9,851
10,1121
8,454
9,881
8,448
9,882
9,847
10,1338
9,589
9,481
9,458
9,379
10,1546
9,413
10,1545
9,413
9,439
8,1077
10,1037
9,463
8,1078
10,1036
9,542
8,1075
10,819
9,541
10,612
9,549
10,611
10,416
8,1235
9,522
10,479
9,529
9,593
10,555
9,592
8,941
9,583
8,942
9,584
8,945
10,915
10,917
8,921
10,1018
9,872
8,550
10,956
10,781
9,808
8,549
10,431
9,816
8,548
10,440
9,833
9,834
10,522
9,529
9,434
10,521
9,420
9,401
9,300
9,307
9,300
8,974
9,306
8,973
9,311
8,974
9,414
10,1069
8,974
8,346
10,1058
8,346
9,510
8,347
9,611
10,1142
10,1058
10,1059
9,732
9,627
8,644
9,534
9,300
9,12
9,107
9,103
10,1087
9,115
10,1086
8,1150
10,994
10,909
8,1150
10,888
8,1150
10,415
10,414
10,311
10,396
10,417
10,417
8,1511
10,658
8,1072
10,760
8,1075
8,1005
9,306
10,759
8,312
8,311
10,851
8,309
10,849
8,378
8,331
8,341
8,341
10,1208
10,1234
8,784
10,1235
10,1114
10,1116
10,607
10,581
10,581
10,848
8,1886
10,845
8,1875
10,753
10,746
8,1876
10,308
8,1395
10,301
10,111
8,374
10,199
10,104
8,373
8,280
10,97
8,308
10,135
8,307
10,102
8,308
8,309
8,251
10,186
10,103
10,103
